Date,Open,High,Low,Close,Volume,,,,,,,,,,,
2019/12/10,42.05,42.2,41.9,42.1,"7,015",,,,,,,,,,,
2019/12/09,41.85,42.15,41.75,42.05,"11,767",,,,,,,,,,,
2019/12/06,41.7,41.85,41.55,41.75,"6,197",,,,,,,,,,,
2019/12/05,41.75,41.9,41.6,41.65,"9,435",,,,,,,,,,,
2019/12/04,41.85,41.85,41.35,41.75,"10,153",,,,,,,,,,,
2019/12/03,41.3,41.95,41.2,41.85,"9,134",,,,,,,,,,,
2019/12/02,41.4,41.45,41.2,41.35,"12,911",,,,,,,,,,,
2019/11/29,41.9,41.95,41.35,41.4,"20,360",,,,,,,,,,,
2019/11/28,42,42.15,41.85,42,"14,516",,,,,,,,,,,
2019/11/27,41.9,41.95,41.7,41.95,"14,148",,,,,,,,,,,
2019/11/26,42.2,42.35,41.8,41.8,"28,215",,,,,,,,,,,
2019/11/25,42.1,42.15,41.8,41.95,"12,268",,,,,,,,,,,
2019/11/22,42.5,42.5,42,42.1,"12,229",,,,,,,,,,,
2019/11/21,42.55,42.55,42,42.35,"14,077",,,,,,,,,,,
2019/11/20,42.25,42.9,42.1,42.65,"31,408",,,,,,,,,,,
2019/11/19,41.5,42.15,41.5,42.1,"22,113",,,,,,,,,,,
2019/11/18,41.9,42.15,41.9,42.1,"21,159",,,,,,,,,,,
2019/11/15,41.4,41.7,41.3,41.7,"23,247",,,,,,,,,,,
2019/11/14,41.15,41.2,40.85,41.15,"14,086",,,,,,,,,,,
2019/11/13,40.9,41.35,40.85,41,"21,129",,,,,,,,,,,
2019/11/12,40.5,40.65,40.4,40.65,"7,037",,,,,,,,,,,
2019/11/11,40.9,40.95,40.35,40.35,"12,826",,,,,,,,,,,
2019/11/08,41,41.05,40.85,40.9,"11,377",,,,,,,,,,,
2019/11/07,40.8,40.95,40.6,40.95,"12,007",,,,,,,,,,,
2019/11/06,40.9,40.95,40.75,40.8,"9,892",,,,,,,,,,,
2019/11/05,41,41.05,40.55,40.9,"16,540",,,,,,,,,,,
2019/11/04,40.7,41.15,40.65,40.95,"18,815",,,,,,,,,,,
2019/11/01,40.45,40.6,40.3,40.55,"9,416",,,,,,,,,,,
2019/10/31,40.5,40.65,40.35,40.45,"14,050",,,,,,,,,,,
2019/10/30,40.65,40.65,40.2,40.35,"20,075",,,,,,,,,,,
2019/10/29,40.9,40.9,40.35,40.65,"18,269",,,,,,,,,,,
2019/10/28,41.05,41.15,40.6,40.75,"11,235",,,,,,,,,,,
2019/10/25,41.2,41.25,40.6,40.85,"21,160",,,,,,,,,,,
2019/10/24,41.05,41.25,40.75,41,"14,762",,,,,,,,,,,
2019/10/23,41.4,41.4,40.8,40.95,"18,481",,,,,,,,,,,
2019/10/22,41.7,41.7,41.1,41.4,"17,732",,,,,,,,,,,
2019/10/21,41.25,41.75,41.25,41.5,"23,863",,,,,,,,,,,
2019/10/18,40.2,41.1,40.1,40.95,"48,548",,,,,,,,,,,
2019/10/17,40.05,40.1,39.95,40.1,"12,869",,,,,,,,,,,
2019/10/16,40.1,40.1,39.8,40,"14,023",,,,,,,,,,,
2019/10/15,40,40.05,39.75,40,"9,498",,,,,,,,,,,
2019/10/14,40.1,40.15,39.6,39.95,"19,955",,,,,,,,,,,
2019/10/09,39.75,39.8,39.5,39.5,"10,114",,,,,,,,,,,
2019/10/08,39.75,39.75,39.45,39.75,"14,023",,,,,,,,,,,
2019/10/07,39.05,39.35,39,39.3,"6,996",,,,,,,,,,,
2019/10/04,39.1,39.1,38.75,38.9,"10,045",,,,,,,,,,,
2019/10/03,38.95,39.1,38.65,39,"12,824",,,,,,,,,,,
2019/10/02,39.65,39.75,39.2,39.25,"15,424",,,,,,,,,,,
2019/10/01,39.9,39.95,39.5,39.65,"15,615",,,,,,,,,,,
2019/09/27,40,40,39.6,39.65,"12,600",,,,,,,,,,,
2019/09/26,39.85,40,39.65,39.9,"10,091",,,,,,,,,,,
2019/09/25,39.85,39.9,39.6,39.6,"15,820",,,,,,,,,,,
2019/09/24,39.9,39.95,39.6,39.8,"18,541",,,,,,,,,,,
2019/09/23,40.2,40.2,39.75,39.75,"14,124",,,,,,,,,,,
2019/09/20,39.8,40.2,39.65,40.2,"15,097",,,,,,,,,,,
2019/09/19,40,40,39.7,39.8,"6,222",,,,,,,,,,,
2019/09/18,39.6,40.1,39.6,39.8,"14,280",,,,,,,,,,,
2019/09/17,40.1,40.1,39.35,39.5,"19,084",,,,,,,,,,,
2019/09/16,40.05,40.25,39.9,40.1,"17,271",,,,,,,,,,,
2019/09/12,40.15,40.2,40,40.05,"14,268",,,,,,,,,,,
2019/09/11,40.15,40.15,39.75,40,"12,764",,,,,,,,,,,
2019/09/10,40.15,40.25,39.85,39.95,"12,337",,,,,,,,,,,
2019/09/09,40,40.2,39.8,40,"16,943",,,,,,,,,,,
2019/09/06,39.05,40.1,39.05,39.85,"26,871",,,,,,,,,,,
2019/09/05,38.5,39,38.5,39,"15,438",,,,,,,,,,,
2019/09/04,38.25,38.5,38.25,38.45,"9,142",,,,,,,,,,,
2019/09/03,38.25,38.45,38.25,38.35,"12,035",,,,,,,,,,,
2019/09/02,38.45,38.45,38.05,38.25,"17,882",,,,,,,,,,,
2019/08/30,38,38.45,37.85,38.45,"20,183",,,,,,,,,,,
2019/08/29,37.9,37.9,37.5,37.8,"9,799",,,,,,,,,,,
2019/08/28,37.65,37.7,37.5,37.7,"8,045",,,,,,,,,,,
2019/08/27,37.9,37.9,37.5,37.65,"13,973",,,,,,,,,,,
2019/08/26,37.85,37.85,37.15,37.7,"17,162",,,,,,,,,,,
2019/08/23,37.8,38.2,37.75,38.2,"7,814",,,,,,,,,,,
2019/08/22,38.1,38.15,37.8,37.85,"10,511",,,,,,,,,,,
2019/08/21,38.15,38.2,37.9,37.95,"11,224",,,,,,,,,,,
2019/08/20,38.3,38.3,38.1,38.15,"8,093",,,,,,,,,,,
2019/08/19,38.15,38.4,38,38.1,"12,566",,,,,,,,,,,
2019/08/16,38.1,38.1,37.8,37.95,"11,940",,,,,,,,,,,
2019/08/15,37.95,38.2,37.65,38,"15,233",,,,,,,,,,,
2019/08/14,37.9,38.4,37.55,38.3,"25,945",,,,,,,,,,,
2019/08/13,37.85,37.85,37.05,37.25,"47,642",,,,,,,,,,,
2019/08/12,43.9,44.15,43.9,43.95,"41,575",,,,,,,,,,,
2019/08/08,44.2,44.2,43.8,43.9,"23,908",,,,,,,,,,,
2019/08/07,43.4,43.75,43.3,43.35,"16,771",,,,,,,,,,,
2019/08/06,43,43.5,43,43.3,"21,429",,,,,,,,,,,
2019/08/05,43.5,43.85,43.4,43.55,"19,388",,,,,,,,,,,
2019/08/02,43.85,44,43.5,43.55,"29,235",,,,,,,,,,,
2019/08/01,44.5,44.55,44,44.05,"33,643",,,,,,,,,,,
2019/07/31,44.8,44.9,44.65,44.7,"13,853",,,,,,,,,,,
2019/07/30,44.95,44.95,44.6,44.8,"9,051",,,,,,,,,,,
2019/07/29,44.85,45.1,44.75,44.85,"13,587",,,,,,,,,,,
2019/07/26,44.2,44.65,44.15,44.65,"10,693",,,,,,,,,,,
2019/07/25,44.8,44.8,44.3,44.3,"18,027",,,,,,,,,,,
2019/07/24,45.05,45.1,44.8,44.8,"18,355",,,,,,,,,,,
2019/07/23,45,45.1,44.75,45.05,"12,969",,,,,,,,,,,
2019/07/22,45,45.15,44.8,44.9,"17,981",,,,,,,,,,,
2019/07/19,44.7,44.9,44.55,44.8,"18,104",,,,,,,,,,,
2019/07/18,44.6,44.75,44.5,44.6,"10,693",,,,,,,,,,,
2019/07/17,44.8,44.95,44.45,44.7,"20,286",,,,,,,,,,,
2019/07/16,44.05,44.85,44,44.75,"29,790",,,,,,,,,,,
2019/07/15,44.35,44.35,43.85,44.05,"29,743",,,,,,,,,,,
2019/07/12,44.7,45,44.2,44.35,"27,811",,,,,,,,,,,
2019/07/11,45.85,45.85,44.7,44.8,"39,584",,,,,,,,,,,
2019/07/10,46.05,46.2,45.8,45.85,"17,734",,,,,,,,,,,
2019/07/09,46.2,46.25,46,46,"9,046",,,,,,,,,,,
2019/07/08,46.15,46.35,46,46.2,"13,478",,,,,,,,,,,
2019/07/05,46,46.5,45.85,46.15,"17,864",,,,,,,,,,,
2019/07/04,46.2,46.25,45.7,45.9,"17,096",,,,,,,,,,,
2019/07/03,46.2,46.45,46.05,46.25,"16,146",,,,,,,,,,,
2019/07/02,46,46.6,45.9,46.35,"17,270",,,,,,,,,,,
2019/07/01,46.05,46.5,45.8,46.15,"18,711",,,,,,,,,,,
2019/06/28,46,46.05,45.6,46.05,"17,078",,,,,,,,,,,
